run_label,axis_trait,balanced_batched_by,grouped_by,batched,batch_size,count,mean,std,min,max
Neutral,decisive,,,True,10,5,-0.43354712408035995,0.3276561718426478,-0.8464853644371033,0.060020996071398255
Neutral,conceptual,,,True,10,5,0.8194711589813233,0.9590873435433174,-0.6829436838626861,1.874864101409912
Neutral,challenging,,,True,10,5,-0.8567544987797737,0.6655056596892784,-1.8917807698249818,-0.21114653795957566
Neutral,philosophical,,,True,10,5,0.6929709541797638,1.0048313419844237,-0.9671162486076355,1.6498051881790161
Neutral,contrarian,,,True,10,5,-0.10693214178085327,0.73813099855947,-1.1917452216148376,0.6386460840702057
Neutral,chaotic,,,True,10,5,-0.4437478643655777,0.708989667833595,-1.4122263550758363,0.09460239112377167
Neutral,disorganized,,,True,10,5,-2.583771505355835,0.34405445928241446,-2.8066568613052367,-1.9785155296325683
Confused,decisive,,,True,10,5,-0.7899710717797279,0.20046286246386819,-1.1176156640052795,-0.5698159739375115
Confused,conceptual,,,True,10,5,0.6052954089641571,1.0069800819068833,-0.9073592543601989,1.5657942175865174
Confused,challenging,,,True,10,5,-0.8003320391476155,0.6559205013093377,-1.8561855673789978,-0.2480004645884037
Confused,philosophical,,,True,10,5,0.5693358087539673,0.9882587563343019,-1.035307264328003,1.4319828629493714
Confused,contrarian,,,True,10,5,0.060724070072174084,0.6828257770497264,-1.0278518140316009,0.7262838900089263
Confused,chaotic,,,True,10,5,-0.23621138095855715,0.7122639765539571,-1.279242593050003,0.386952331662178
Confused,disorganized,,,True,10,5,-1.9096785646677017,0.4349797300310247,-2.346127676963806,-1.3447609215974807
