condition,axis,topic,count,mean,std,variance,min,max
Neutral,disorganized,0,10,-2.747711706161499,0.06580616016935525,0.0043304507162348375,-2.828540802001953,-2.627258062362671
Neutral,disorganized,1,10,-2.8066568613052367,0.5971301227088126,0.3565643834462416,-3.4129481315612793,-1.6383073329925537
Neutral,disorganized,2,10,-2.634896731376648,0.04852529818709474,0.0023547045641464596,-2.712934732437134,-2.5455946922302246
Neutral,disorganized,3,10,-1.9785155296325683,0.0676793159120146,0.0045804898023182735,-2.0729053020477295,-1.8870069980621338
Neutral,disorganized,4,10,-2.7510766983032227,0.0,0.0,-2.7510766983032227,-2.7510766983032227
Neutral,chaotic,0,10,0.09460239112377167,0.09595798774731101,0.009207935412513092,-0.05842483043670654,0.24476748704910278
Neutral,chaotic,1,10,-1.4122263550758363,0.15334942508768923,0.023516046174724813,-1.666954755783081,-1.098942756652832
Neutral,chaotic,2,10,0.05038619637489319,0.06625801428468252,0.004390124456949193,-0.04122507572174072,0.1305924355983734
Neutral,chaotic,3,10,0.042263203859329225,0.03158038880904281,0.0009973209573303165,0.020001322031021118,0.08699187636375427
Neutral,chaotic,4,10,-0.9937647581100464,0.0,0.0,-0.9937647581100464,-0.9937647581100464
Confused,disorganized,0,10,-1.3447609215974807,1.0846433726574267,1.1764512458496776,-2.460984706878662,0.5328207015991211
Confused,disorganized,1,10,-2.173468178510666,0.7424177708125026,0.5511841464182056,-2.991032838821411,-0.8231823444366455
Confused,disorganized,2,10,-2.346127676963806,0.1498675419860913,0.022460280140952842,-2.488480567932129,-1.978102684020996
Confused,disorganized,3,10,-1.5517863631248474,0.2577148638145346,0.06641695103094412,-1.9115755558013916,-0.9843165874481201
Confused,disorganized,4,10,-2.1322496831417084,1.0638568009387572,1.1317912929036464,-2.6524147987365723,0.8475587964057922
Confused,chaotic,0,10,0.386952331662178,0.18573456174737799,0.034497327427490565,0.13888010382652283,0.682072639465332
Confused,chaotic,1,10,-1.279242593050003,0.3148374320527909,0.09912260862159572,-1.6644362211227417,-0.6832454800605774
Confused,chaotic,2,10,0.1824355185031891,0.08105520573801459,0.006569946377231872,0.07272124290466309,0.37568724155426025
Confused,chaotic,3,10,0.1990060955286026,0.17682874515598662,0.03126840511344087,-0.010361403226852417,0.5564764738082886
Confused,chaotic,4,10,-0.6702082574367523,0.29069452269998786,0.08450330552777376,-0.8406657576560974,0.1334361433982849
