run_label,axis_trait,count,mean,std,min,max
Neutral,decisive,10,-0.49998558070510624,0.36888482032338216,-1.1048219203948975,-0.0061860159039497375
Neutral,conceptual,10,0.9880375325679779,0.8766707139699295,-0.5253921151161194,1.9527966976165771
Neutral,challenging,10,-0.9064654350280762,0.6987901129851236,-2.124333381652832,-0.10693401098251343
Neutral,philosophical,10,0.7057844281196595,0.9660655084371906,-0.9486750364303589,1.723713994026184
Neutral,contrarian,10,-0.26703040301799774,0.8006641535223512,-1.5306801795959473,0.6741402745246887
Neutral,chaotic,10,-0.44277569353580476,0.7513427024124077,-1.6729940176010132,0.17083436250686646
Neutral,disorganized,10,-2.5420300364494324,0.3577033158036863,-3.2102982997894287,-1.9487272500991821
Confused,decisive,5,-1.3054762005805969,0.3697644744949373,-1.6627726554870605,-0.8776159882545471
Confused,conceptual,5,0.6305786609649658,1.4170432479116484,-0.9145529270172119,1.8281573057174683
Confused,challenging,5,-0.9695937395095825,0.7386042871654422,-2.2458815574645996,-0.4543607234954834
Confused,philosophical,5,0.3629642724990845,1.265999758277715,-1.3723047971725464,1.6676536798477173
Confused,contrarian,5,-0.09132782518863677,0.8120742332788871,-1.4469801187515259,0.6147311925888062
Confused,chaotic,5,-0.09871895313262939,0.9269686178594093,-1.4879096746444702,0.8559691309928894
Confused,disorganized,5,-1.2455109119415284,1.4216785678718364,-2.013674736022949,1.2749838829040527
Very confused,decisive,5,-0.9983124017715455,0.3551835755621217,-1.5891387462615967,-0.6698659658432007
Very confused,conceptual,5,0.5824382424354553,1.1982529046823764,-0.7210983037948608,1.93094801902771
Very confused,challenging,5,-0.989952564239502,0.6057783954583776,-2.0280754566192627,-0.5561573505401611
Very confused,philosophical,5,0.4309942424297333,1.0574823467129695,-0.9183362126350403,1.6893024444580078
Very confused,contrarian,5,-0.184899041056633,0.6276890674780422,-1.214019536972046,0.3526875674724579
Very confused,chaotic,5,-0.21430104970932007,0.8938230240178826,-1.4157311916351318,0.9093319177627563
Very confused,disorganized,5,-1.3227768659591674,1.69922243200494,-2.308145761489868,1.703552007675171
